,id,text,query
0,1389483698005946369,"RT @nyaaa_game: ありがとうS８！！！あっという間でした！KP！！！！
PlayStation 4からブロードキャストを始めました！ #PS4live (Apex Legends)  live at https://t.co/eT7R2skAGz",playstation 
1,1389483697536045063,"NieR Replicant ver.1.22474487139...
素材ハンター (ブロンズ)
素材を合計50種類以上集めました。 #PS4share https://t.co/ipCJYgSnIX https://t.co/EjrLoIovt3",playstation 
2,1389483695757725697,@LxckyEU https://t.co/ocoR2lKG1D,playstation 
3,1389483694352519169,"RT @Hikaru_0453: #Apex
久しぶりのApexでいい所がここしかなかったw

https://t.co/61etQC2ofs https://t.co/hmN0CePCyR",playstation 
4,1389483690292498437,"逃走中？w #PS4share

https://t.co/Ld3k95vaDa https://t.co/SnZpvAglD8",playstation 
5,1389483688463769604,PlayStation 4からブロードキャストを始めました！ #PS4live (Apex Legends)  live at https://t.co/0njBphd4tF,playstation 
6,1389483686672834562,PlayStation 4からブロードキャストを始めました！ #PS4live (ストリートファイターV)  live at https://t.co/xvOjx6FOsO,playstation 
7,1389483685242617856,"大失敗 #PS4share

https://t.co/dA4AD70xsW https://t.co/kKI4yrcWfy",playstation 
8,1389483684579975168,RT @PlayStation: Announcing PlayStation new partnership with Discord: https://t.co/W9C8SR7OXx https://t.co/LV4AhwbuBv,playstation 
9,1389483683699101696,Check out my broadcast from my PlayStation 4! #PS4live (Zombie Army 4: Dead War)  live at https://t.co/S8B03c9oJC,playstation 
10,1389483681694240771,"RT @last_hoper_u: 今日の被験者
#apex

https://t.co/wtwbCCYn6Q https://t.co/AXNGWppLWZ",playstation 
11,1389483679114661888,":))

https://t.co/A7oQMlSKaB https://t.co/w0ViaAz8FF",playstation 
12,1389483678032613377,@AboodFoolad @lfcpaddy @kfcgaming @PlayStation Lmao bro these memes 🤣🤣🤣,playstation 
13,1389483677059538946,"RT @RE_Games: Download the Resident Evil Village Demo today, available on PlayStation, Xbox, Steam and Stadia!

❤️ this tweet to get a remi…",playstation 
14,1389483674769440769,"RT @TheSiteSupply: PS5 Giveaway 🥳

Prizes: 🎁
- 1x PlayStation 5

Rules:  📃
• Follow @TheSiteSupply, @MekRobotics, @Maze_IO, @torpedoAIO, @t…",playstation 
15,1389483673456574468,"RT @ApexLegendsWiki: 『プレイステーション』が『ディスコード』とパートナーシップを結んだと発表！！2022年初めからPSNを使ってディスコードが使用可能に

#エーペックスレジェンズ #ApexLegends 

https://t.co/ypP20CWi85",playstation 
16,1389483666905075713,"RT @Luke1104s: 好きなクリップ

https://t.co/zswdA71JT5 https://t.co/BkA0ttvikX",playstation 
